date,period,traffic_scene,dau,bounce_rate,average_dwell_seconds,organic_conversion_rate
2026-06-29,comparison,直播,2440000,0.218,419,0.037
2026-06-30,comparison,首页推荐,1900000,0.245,356,0.028
2026-06-30,comparison,搜索,2080000,0.236,377,0.031
2026-06-30,comparison,商品详情,2260000,0.227,398,0.034
2026-06-30,comparison,直播,2440000,0.218,419,0.037
2026-07-01,current,首页推荐,2014000,0.238,370,0.0295
2026-07-01,current,搜索,2204800,0.229,391,0.0325
2026-07-01,current,商品详情,2395600,0.22,412,0.0355
2026-07-01,current,直播,2586400,0.211,433,0.0385
2026-07-02,current,首页推荐,2014000,0.238,370,0.0295
2026-07-02,current,搜索,2204800,0.229,391,0.0325
2026-07-02,current,商品详情,2395600,0.22,412,0.0355
2026-07-02,current,直播,2586400,0.211,433,0.0385
2026-07-03,current,首页推荐,2014000,0.238,370,0.0295
2026-07-03,current,搜索,2204800,0.229,391,0.0325
2026-07-03,current,商品详情,2395600,0.22,412,0.0355
2026-07-03,current,直播,2586400,0.211,433,0.0385
2026-07-04,current,首页推荐,2014000,0.238,370,0.0295
2026-07-04,current,搜索,2204800,0.229,391,0.0325
2026-07-04,current,商品详情,2395600,0.22,412,0.0355
2026-07-04,current,直播,2586400,0.211,433,0.0385
2026-07-05,current,首页推荐,2014000,0.238,370,0.0295
2026-07-05,current,搜索,2204800,0.229,391,0.0325
2026-07-05,current,商品详情,2395600,0.22,412,0.0355
2026-07-05,current,直播,2586400,0.211,433,0.0385
2026-07-06,current,首页推荐,2014000,0.238,370,0.0295
2026-07-06,current,搜索,2204800,0.229,391,0.0325
2026-07-06,current,商品详情,2395600,0.22,412,0.0355
2026-07-06,current,直播,2586400,0.211,433,0.0385
2026-07-07,current,首页推荐,2014000,0.238,370,0.0295
2026-07-07,current,搜索,2204800,0.229,391,0.0325
2026-07-07,current,商品详情,2395600,0.22,412,0.0355
2026-07-07,current,直播,2586400,0.211,433,0.0385
2026-07-08,current,首页推荐,2014000,0.238,370,0.0295
2026-07-08,current,搜索,2204800,0.229,391,0.0325
2026-07-08,current,商品详情,2395600,0.22,412,0.0355
2026-07-08,current,直播,2586400,0.211,433,0.0385
2026-07-09,current,首页推荐,2014000,0.238,370,0.0295
2026-07-09,current,搜索,2204800,0.229,391,0.0325
2026-07-09,current,商品详情,2395600,0.22,412,0.0355
2026-07-09,current,直播,2586400,0.211,433,0.0385
2026-07-10,current,首页推荐,2014000,0.238,370,0.0295
2026-07-10,current,搜索,2204800,0.229,391,0.0325
2026-07-10,current,商品详情,2395600,0.22,412,0.0355
2026-07-10,current,直播,2586400,0.211,433,0.0385
2026-07-11,current,首页推荐,2014000,0.238,370,0.0295
2026-07-11,current,搜索,2204800,0.229,391,0.0325
2026-07-11,current,商品详情,2395600,0.22,412,0.0355
2026-07-11,current,直播,2586400,0.211,433,0.0385
2026-07-12,current,首页推荐,2014000,0.238,370,0.0295
2026-07-12,current,搜索,2204800,0.229,391,0.0325
2026-07-12,current,商品详情,2395600,0.22,412,0.0355
2026-07-12,current,直播,2586400,0.211,433,0.0385
2026-07-13,current,首页推荐,2014000,0.238,370,0.0295
2026-07-13,current,搜索,2204800,0.229,391,0.0325
2026-07-13,current,商品详情,2395600,0.22,412,0.0355
2026-07-13,current,直播,2586400,0.211,433,0.0385
2026-07-14,current,首页推荐,2014000,0.238,370,0.0295
2026-07-14,current,搜索,2204800,0.229,391,0.0325
2026-07-14,current,商品详情,2395600,0.22,412,0.0355
2026-07-14,current,直播,2586400,0.211,433,0.0385
