date,period,ad_format,traffic_scene,billing_method,category,advertiser_tier,monetizable_vv,opportunities,requests,filled_requests,impressions,clicks,actual_ad_spend,revenue
2026-06-20,comparison,信息流,直播,CPM,食品,头部,2266699,2448035,2230160,1761826,1645545,25506,110251.51,110251.51
2026-06-20,comparison,搜索广告,直播,CPC,数码,中腰部,2265849,2537751,2311891,1884191,1759834,28685,130227.72,130227.72
2026-06-20,comparison,直播广告,直播,CPM,服饰,成长型,2191995,2542714,2316412,1945786,1817364,31077,147206.48,147206.48
2026-06-21,comparison,信息流,首页推荐,CPM,服饰,头部,1523577,1645463,1439780,1137426,1035058,11386,53823.02,53823.02
2026-06-21,comparison,搜索广告,首页推荐,CPC,美妆,中腰部,1463695,1639338,1434421,1169053,1063838,12553,62766.44,62766.44
2026-06-21,comparison,直播广告,首页推荐,CPM,食品,成长型,1446050,1677418,1467741,1232902,1121941,14136,74048.11,74048.11
2026-06-21,comparison,信息流,搜索,CPM,美妆,中腰部,1741753,1881093,1668529,1318138,1210051,15126,68972.91,68972.91
2026-06-21,comparison,搜索广告,搜索,CPC,食品,成长型,1739627,1948382,1728215,1408495,1292998,17197,82751.87,82751.87
2026-06-21,comparison,直播广告,搜索,CPM,数码,头部,1757451,2038643,1808276,1518952,1394398,19661,99002.26,99002.26
2026-06-21,comparison,信息流,商品详情,CPM,食品,成长型,2042681,2206095,1983279,1566790,1450848,20312,89952.58,89952.58
2026-06-21,comparison,搜索广告,商品详情,CPC,数码,头部,2034434,2278566,2048431,1669471,1545930,22880,106669.17,106669.17
2026-06-21,comparison,直播广告,商品详情,CPM,服饰,中腰部,1942473,2253269,2025689,1701579,1575662,24580,119750.31,119750.31
2026-06-21,comparison,信息流,直播,CPM,数码,头部,2150492,2322531,2115826,1671503,1561184,24198,104599.33,104599.33
2026-06-21,comparison,搜索广告,直播,CPC,服饰,中腰部,2182823,2444762,2227178,1815150,1695350,27634,125455.9,125455.9
2026-06-21,comparison,直播广告,直播,CPM,美妆,成长型,2226996,2583315,2353400,1976856,1846384,31573,149557.1,149557.1
2026-06-22,comparison,信息流,首页推荐,CPM,美妆,头部,1462233,1579212,1381810,1091630,993383,10927,51655.92,51655.92
2026-06-22,comparison,搜索广告,首页推荐,CPC,食品,中腰部,1528441,1711854,1497872,1220766,1110897,13109,65542.92,65542.92
2026-06-22,comparison,直播广告,首页推荐,CPM,数码,成长型,1520443,1763714,1543250,1296330,1179660,14864,77857.56,77857.56
2026-06-22,comparison,信息流,搜索,CPM,食品,中腰部,1786299,1929203,1711203,1351850,1240998,15512,70736.89,70736.89
2026-06-22,comparison,搜索广告,搜索,CPC,数码,成长型,1750097,1960109,1738617,1416973,1300781,17300,83249.98,83249.98
2026-06-22,comparison,直播广告,搜索,CPM,服饰,头部,1720712,1996026,1770475,1487199,1365249,19250,96932.68,96932.68
2026-06-22,comparison,信息流,商品详情,CPM,数码,成长型,1938876,2093986,1882493,1487169,1377118,19280,85381.32,85381.32
2026-06-22,comparison,搜索广告,商品详情,CPC,服饰,头部,1906646,2135444,1919764,1564608,1448827,21443,99969.06,99969.06
2026-06-22,comparison,直播广告,商品详情,CPM,美妆,中腰部,1973343,2289078,2057881,1728620,1600702,24971,121653.35,121653.35
2026-06-22,comparison,信息流,直播,CPM,服饰,头部,2277507,2459708,2240794,1770227,1653392,25628,110777.26,110777.26
2026-06-22,comparison,搜索广告,直播,CPC,美妆,中腰部,2208154,2473132,2253023,1836214,1715024,27955,126911.78,126911.78
2026-06-22,comparison,直播广告,直播,CPM,食品,成长型,2254687,2615437,2382663,2001437,1869342,31966,151416.7,151416.7
2026-06-23,comparison,信息流,首页推荐,CPM,食品,头部,1537126,1660096,1452584,1147541,1044262,11487,54301.62,54301.62
2026-06-23,comparison,搜索广告,首页推荐,CPC,数码,中腰部,1459616,1634770,1430424,1165796,1060874,12518,62591.57,62591.57
2026-06-23,comparison,直播广告,首页推荐,CPM,服饰,成长型,1552232,1800589,1575515,1323433,1204324,15174,79485.38,79485.38
2026-06-23,comparison,信息流,搜索,CPM,数码,中腰部,1729106,1867434,1656414,1308567,1201265,15016,68472.1,68472.1
2026-06-23,comparison,搜索广告,搜索,CPC,服饰,成长型,1688448,1891062,1677372,1367058,1254959,16691,80317.38,80317.38
2026-06-23,comparison,直播广告,搜索,CPM,美妆,头部,1765614,2048112,1816675,1526007,1400874,19752,99462.05,99462.05
2026-06-23,comparison,信息流,商品详情,CPM,服饰,成长型,2026306,2188410,1967381,1554231,1439218,20149,89231.52,89231.52
2026-06-23,comparison,搜索广告,商品详情,CPC,美妆,头部,1903969,2132445,1917068,1562410,1446792,21413,99828.65,99828.65
2026-06-23,comparison,直播广告,商品详情,CPM,食品,中腰部,2035002,2360602,2122181,1782632,1650717,25751,125454.49,125454.49
2026-06-23,comparison,信息流,直播,CPM,美妆,头部,2224558,2402523,2188698,1729071,1614952,25032,108201.78,108201.78
2026-06-23,comparison,搜索广告,直播,CPC,食品,中腰部,2196801,2460417,2241440,1826774,1706207,27811,126259.32,126259.32
2026-06-23,comparison,直播广告,直播,CPM,数码,成长型,2147350,2490926,2269234,1906157,1780351,30444,144208.43,144208.43
2026-06-24,comparison,信息流,首页推荐,CPM,数码,头部,1458800,1575504,1378566,1089067,991051,10902,51534.65,51534.65
2026-06-24,comparison,搜索广告,首页推荐,CPC,服饰,中腰部,1547935,1733687,1516976,1236335,1125065,13276,66378.84,66378.84
2026-06-24,comparison,直播广告,首页推荐,CPM,美妆,成长型,1463876,1698096,1485834,1248101,1135772,14311,74960.95,74960.95
2026-06-24,comparison,信息流,搜索,CPM,服饰,中腰部,1802012,1946173,1726255,1363741,1251914,15649,71359.1,71359.1
2026-06-24,comparison,搜索广告,搜索,CPC,美妆,成长型,1745692,1955175,1734240,1413406,1297507,17257,83040.45,83040.45
2026-06-24,comparison,直播广告,搜索,CPM,食品,头部,1744721,2023876,1795178,1507950,1384298,19519,98285.16,98285.16
2026-06-24,comparison,信息流,商品详情,CPM,美妆,成长型,2049479,2213437,1989880,1572005,1455677,20379,90251.97,90251.97
2026-06-24,comparison,搜索广告,商品详情,CPC,食品,头部,1997493,2237192,2011236,1639157,1517859,22464,104732.27,104732.27
2026-06-24,comparison,直播广告,商品详情,CPM,数码,中腰部,1943994,2255033,2027275,1702911,1576896,24600,119844.1,119844.1
2026-06-24,comparison,信息流,直播,CPM,食品,头部,2267282,2448665,2230734,1762280,1645970,25513,110279.99,110279.99
2026-06-24,comparison,搜索广告,直播,CPC,数码,中腰部,2172025,2432668,2216161,1806171,1686964,27498,124835.34,124835.34
2026-06-24,comparison,直播广告,直播,CPM,服饰,成长型,2250165,2610191,2377884,1997423,1865593,31902,151113.03,151113.03
2026-06-25,comparison,信息流,首页推荐,CPM,服饰,头部,1486057,1604942,1404324,1109416,1009569,11105,52497.59,52497.59
2026-06-25,comparison,搜索广告,首页推荐,CPC,美妆,中腰部,1513172,1694753,1482909,1208571,1099800,12978,64888.2,64888.2
2026-06-25,comparison,直播广告,首页推荐,CPM,食品,成长型,1540447,1786919,1563554,1313385,1195180,15059,78881.88,78881.88
2026-06-25,comparison,信息流,搜索,CPM,美妆,中腰部,1696981,1832739,1625639,1284255,1178946,14737,67199.92,67199.92
2026-06-25,comparison,搜索广告,搜索,CPC,食品,成长型,1754789,1965364,1743278,1420772,1304269,17347,83473.22,83473.22
2026-06-25,comparison,直播广告,搜索,CPM,数码,头部,1720103,1995319,1769848,1486672,1364765,19243,96898.32,96898.32
2026-06-25,comparison,信息流,商品详情,CPM,食品,成长型,2050746,2214806,1991111,1572978,1456578,20392,90307.84,90307.84
2026-06-25,comparison,搜索广告,商品详情,CPC,数码,头部,1975389,2212436,1988980,1621019,1501064,22216,103573.42,103573.42
2026-06-25,comparison,直播广告,商品详情,CPM,服饰,中腰部,1939179,2249448,2022254,1698693,1572990,24539,119547.24,119547.24
2026-06-25,comparison,信息流,直播,CPM,数码,头部,2191316,2366621,2155992,1703234,1590821,24658,106585.01,106585.01
2026-06-25,comparison,搜索广告,直播,CPC,服饰,中腰部,2192847,2455989,2237406,1823486,1703136,27761,126032.06,126032.06
2026-06-25,comparison,直播广告,直播,CPM,美妆,成长型,2283790,2649196,2413418,2027271,1893471,32378,153371.15,153371.15
2026-06-26,comparison,信息流,首页推荐,CPM,美妆,头部,1488082,1607129,1406238,1110928,1010944,11120,52569.09,52569.09
2026-06-26,comparison,搜索广告,首页推荐,CPC,食品,中腰部,1547452,1733146,1516503,1235950,1124714,13272,66358.13,66358.13
2026-06-26,comparison,直播广告,首页推荐,CPM,数码,成长型,1474571,1710502,1496689,1257219,1144069,14415,75508.55,75508.55
2026-06-26,comparison,信息流,搜索,CPM,食品,中腰部,1707034,1843597,1635271,1291864,1185931,14824,67598.07,67598.07
2026-06-26,comparison,搜索广告,搜索,CPC,数码,成长型,1768532,1980756,1756931,1431899,1314483,17483,84126.91,84126.91
2026-06-26,comparison,直播广告,搜索,CPM,服饰,头部,1710313,1983963,1759775,1478211,1356998,19134,96346.86,96346.86
2026-06-26,comparison,信息流,商品详情,CPM,数码,成长型,2017823,2179249,1959145,1547725,1433193,20065,88857.97,88857.97
2026-06-26,comparison,搜索广告,商品详情,CPC,服饰,头部,2043620,2288854,2057680,1677009,1552910,22983,107150.79,107150.79
2026-06-26,comparison,直播广告,商品详情,CPM,美妆,中腰部,1933395,2242738,2016221,1693626,1568298,24465,119190.65,119190.65
2026-06-26,comparison,信息流,直播,CPM,服饰,头部,2231594,2410122,2195621,1734541,1620061,25111,108544.09,108544.09
2026-06-26,comparison,搜索广告,直播,CPC,美妆,中腰部,2218540,2484765,2263621,1844851,1723091,28086,127508.73,127508.73
2026-06-26,comparison,直播广告,直播,CPM,食品,成长型,2132354,2473531,2253387,1892845,1767917,30231,143201.28,143201.28
2026-06-27,comparison,信息流,首页推荐,CPM,食品,头部,1519460,1641017,1435890,1134353,1032261,11355,53677.57,53677.57
2026-06-27,comparison,搜索广告,首页推荐,CPC,数码,中腰部,1496159,1675698,1466236,1194982,1087434,12832,64158.61,64158.61
2026-06-27,comparison,直播广告,首页推荐,CPM,服饰,成长型,1440594,1671089,1462203,1228251,1117708,14083,73768.73,73768.73
2026-06-27,comparison,信息流,搜索,CPM,数码,中腰部,1682471,1817069,1611740,1273275,1168866,14611,66625.36,66625.36
2026-06-27,comparison,搜索广告,搜索,CPC,服饰,成长型,1739476,1948213,1728065,1408373,1292886,17195,82744.7,82744.7
2026-06-27,comparison,直播广告,搜索,CPM,美妆,头部,1791428,2078056,1843236,1548318,1421356,20041,100916.28,100916.28
2026-06-27,comparison,信息流,商品详情,CPM,服饰,成长型,2036737,2199676,1977509,1562232,1446627,20253,89690.87,89690.87
2026-06-27,comparison,搜索广告,商品详情,CPC,美妆,头部,1920875,2151380,1934091,1576284,1459639,21603,100715.09,100715.09
2026-06-27,comparison,直播广告,商品详情,CPM,食品,中腰部,1992894,2311757,2078270,1745747,1616562,25218,122858.71,122858.71
2026-06-27,comparison,信息流,直播,CPM,美妆,头部,2173958,2347875,2138914,1689742,1578219,24462,105740.67,105740.67
2026-06-27,comparison,搜索广告,直播,CPC,食品,中腰部,2201959,2466194,2246703,1831063,1710213,27876,126555.76,126555.76
2026-06-27,comparison,直播广告,直播,CPM,数码,成长型,2147317,2490888,2269199,1906127,1780323,30444,144206.16,144206.16
2026-06-28,comparison,信息流,首页推荐,CPM,数码,头部,1552766,1676987,1467364,1159218,1054888,11604,54854.18,54854.18
2026-06-28,comparison,搜索广告,首页推荐,CPC,服饰,中腰部,1475439,1652492,1445930,1178433,1072374,12654,63270.07,63270.07
2026-06-28,comparison,直播广告,首页推荐,CPM,美妆,成长型,1456578,1689630,1478426,1241878,1130109,14239,74587.19,74587.19
2026-06-28,comparison,信息流,搜索,CPM,服饰,中腰部,1786806,1929750,1711688,1352234,1241351,15517,70757.01,70757.01
2026-06-28,comparison,搜索广告,搜索,CPC,美妆,成长型,1784449,1998583,1772743,1444786,1326314,17640,84884.1,84884.1
2026-06-28,comparison,直播广告,搜索,CPM,食品,头部,1802252,2090612,1854373,1557673,1429944,20162,101526.02,101526.02
2026-06-28,comparison,信息流,商品详情,CPM,美妆,成长型,2028433,2190708,1969446,1555862,1440728,20170,89325.14,89325.14
2026-06-28,comparison,搜索广告,商品详情,CPC,食品,头部,1938205,2170790,1951540,1590505,1472808,21798,101623.75,101623.75
2026-06-28,comparison,直播广告,商品详情,CPM,数码,中腰部,1975270,2291313,2059890,1730308,1602265,24995,121772.14,121772.14
2026-06-28,comparison,信息流,直播,CPM,食品,头部,2285556,2468400,2248712,1776482,1659234,25718,111168.68,111168.68
2026-06-28,comparison,搜索广告,直播,CPC,数码,中腰部,2145198,2402622,2188789,1783863,1666128,27158,123293.47,123293.47
2026-06-28,comparison,直播广告,直播,CPM,服饰,成长型,2255495,2616374,2383517,2002154,1870012,31977,151470.97,151470.97
2026-06-29,comparison,信息流,首页推荐,CPM,服饰,头部,1451630,1567760,1371790,1083714,986180,10848,51281.36,51281.36
2026-06-29,comparison,搜索广告,首页推荐,CPC,美妆,中腰部,1460206,1635431,1431002,1166267,1061303,12523,62616.88,62616.88
2026-06-29,comparison,直播广告,首页推荐,CPM,食品,成长型,1524184,1768053,1547046,1299519,1182562,14900,78049.09,78049.09
2026-06-29,comparison,信息流,搜索,CPM,美妆,中腰部,1778190,1920445,1703435,1345714,1235365,15442,70415.8,70415.8
2026-06-29,comparison,搜索广告,搜索,CPC,食品,成长型,1731861,1939684,1720500,1402208,1287227,17120,82382.53,82382.53
2026-06-29,comparison,直播广告,搜索,CPM,数码,头部,1799342,2087237,1851379,1555158,1427635,20130,101362.09,101362.09
2026-06-29,comparison,信息流,商品详情,CPM,食品,成长型,1954674,2111048,1897832,1499287,1388340,19437,86077.08,86077.08
2026-06-29,comparison,搜索广告,商品详情,CPC,数码,头部,1953163,2187543,1966601,1602780,1484174,21966,102408.01,102408.01
2026-06-29,comparison,直播广告,商品详情,CPM,服饰,中腰部,1968497,2283457,2052828,1724376,1596772,24910,121354.67,121354.67
2026-06-29,comparison,信息流,直播,CPM,数码,头部,2241313,2420618,2205183,1742095,1627117,25220,109016.84,109016.84
2026-06-29,comparison,搜索广告,直播,CPC,服饰,中腰部,2243073,2512242,2288652,1865251,1742144,28397,128918.66,128918.66
2026-06-29,comparison,直播广告,直播,CPM,美妆,成长型,2197038,2548564,2321742,1950263,1821546,31148,147545.23,147545.23
2026-06-30,comparison,信息流,首页推荐,CPM,美妆,头部,1474767,1592748,1393654,1100987,1001898,11021,52098.7,52098.7
2026-06-30,comparison,搜索广告,首页推荐,CPC,食品,中腰部,1526307,1709464,1495781,1219062,1109346,13090,65451.41,65451.41
2026-06-30,comparison,直播广告,首页推荐,CPM,数码,成长型,1446266,1677669,1467960,1233086,1122108,14139,74059.13,74059.13
2026-06-30,comparison,信息流,搜索,CPM,食品,中腰部,1723014,1860855,1650578,1303957,1197033,14963,68230.88,68230.88
2026-06-30,comparison,搜索广告,搜索,CPC,数码,成长型,1702185,1906447,1691018,1378180,1265169,16827,80970.82,80970.82
2026-06-30,comparison,直播广告,搜索,CPM,服饰,头部,1762660,2044686,1813636,1523454,1398531,19719,99295.7,99295.7
2026-06-30,comparison,信息流,商品详情,CPM,数码,成长型,1956560,2113085,1899663,1500734,1389680,19456,86160.16,86160.16
2026-06-30,comparison,搜索广告,商品详情,CPC,服饰,头部,2047747,2293477,2061836,1680396,1556047,23029,107367.24,107367.24
2026-06-30,comparison,直播广告,商品详情,CPM,美妆,中腰部,2010624,2332324,2096759,1761278,1630943,25443,123951.67,123951.67
2026-06-30,comparison,信息流,直播,CPM,服饰,头部,2294830,2478416,2257837,1783691,1665967,25822,111619.79,111619.79
2026-06-30,comparison,搜索广告,直播,CPC,美妆,中腰部,2150849,2408951,2194554,1788562,1670517,27229,123618.26,123618.26
2026-06-30,comparison,直播广告,直播,CPM,食品,成长型,2185474,2535150,2309522,1939998,1811958,30984,146768.6,146768.6
2026-07-01,current,信息流,首页推荐,CPM,服饰,头部,1639923,1771117,1570981,1269353,1155111,12706,63300.08,63300.08
2026-07-01,current,搜索广告,首页推荐,CPC,美妆,中腰部,1743056,1952223,1731622,1442441,1312621,15489,81119.98,81119.98
2026-07-01,current,直播广告,首页推荐,CPM,食品,成长型,1623481,1883238,1670432,1433231,1304240,16433,89731.71,89731.71
2026-07-01,current,信息流,搜索,CPM,美妆,中腰部,2006462,2166979,1948114,1574076,1445002,18063,86411.12,86411.12
2026-07-01,current,搜索广告,搜索,CPC,食品,成长型,1877358,2102641,1890274,1574598,1445481,19225,96558.13,96558.13
2026-07-01,current,直播广告,搜索,CPM,数码,头部,1873322,2173054,1953576,1676168,1538722,21696,113557.68,113557.68
2026-07-01,current,信息流,商品详情,CPM,食品,成长型,2188995,2364115,2153709,1740197,1611422,22560,104420.15,104420.15
2026-07-01,current,搜索广告,商品详情,CPC,数码,头部,2245425,2514876,2291052,1908446,1767221,26155,126886.47,126886.47
2026-07-01,current,直播广告,商品详情,CPM,服饰,中腰部,2194312,2545402,2318861,1989583,1842354,28741,145177.5,145177.5
2026-07-01,current,信息流,直播,CPM,数码,头部,2562966,2768003,2554867,2064333,1928087,29885,134580.47,134580.47
2026-07-01,current,搜索广告,直播,CPC,服饰,中腰部,2471656,2768255,2555099,2128397,1987923,32403,152672.49,152672.49
2026-07-01,current,直播广告,直播,CPM,美妆,成长型,2516274,2918878,2694124,2311558,2158995,36919,180923.78,180923.78
2026-07-02,current,信息流,首页推荐,CPM,美妆,头部,1726595,1864723,1654009,1336439,1216159,13378,66645.51,66645.51
2026-07-02,current,搜索广告,首页推荐,CPC,食品,中腰部,1739785,1948559,1728372,1439734,1310158,15460,80967.76,80967.76
2026-07-02,current,直播广告,首页推荐,CPM,数码,成长型,1745180,2024409,1795651,1540669,1402009,17665,96458.22,96458.22
2026-07-02,current,信息流,搜索,CPM,食品,中腰部,1981547,2140071,1923924,1554531,1427059,17838,85338.13,85338.13
2026-07-02,current,搜索广告,搜索,CPC,数码,成长型,2024845,2267826,2038776,1698300,1559039,20735,104143.81,104143.81
2026-07-02,current,直播广告,搜索,CPM,服饰,头部,1903600,2208176,1985150,1703259,1563592,22047,115393.09,115393.09
2026-07-02,current,信息流,商品详情,CPM,数码,成长型,2303850,2488158,2266712,1831503,1695972,23744,109898.99,109898.99
2026-07-02,current,搜索广告,商品详情,CPC,服饰,头部,2165627,2425502,2209632,1840623,1704417,25225,122377.14,122377.14
2026-07-02,current,直播广告,商品详情,CPM,美妆,中腰部,2182517,2531720,2306397,1978889,1832451,28586,144397.14,144397.14
2026-07-02,current,信息流,直播,CPM,服饰,头部,2388264,2579325,2380717,1923619,1796660,27848,125406.87,125406.87
2026-07-02,current,搜索广告,直播,CPC,美妆,中腰部,2422239,2712908,2504014,2085844,1948178,31755,149620.07,149620.07
2026-07-02,current,直播广告,直播,CPM,食品,成长型,2520123,2923343,2698246,2315095,2162299,36975,181200.66,181200.66
2026-07-03,current,信息流,首页推荐,CPM,食品,头部,1701121,1837211,1629606,1316722,1198217,13180,65662.29,65662.29
2026-07-03,current,搜索广告,首页推荐,CPC,数码,中腰部,1732292,1940167,1720928,1433533,1304515,15393,80619.03,80619.03
2026-07-03,current,直播广告,首页推荐,CPM,服饰,成长型,1689918,1960305,1738791,1491883,1357614,17106,93403.84,93403.84
2026-07-03,current,信息流,搜索,CPM,数码,中腰部,1958689,2115384,1901730,1536598,1410597,17632,84353.7,84353.7
2026-07-03,current,搜索广告,搜索,CPC,服饰,成长型,1937313,2169791,1950642,1624885,1491644,19839,99641.82,99641.82
2026-07-03,current,直播广告,搜索,CPM,美妆,头部,1885339,2186993,1966107,1686920,1548593,21835,114286.16,114286.16
2026-07-03,current,信息流,商品详情,CPM,服饰,成长型,2252064,2432229,2215761,1790335,1657850,23210,107428.68,107428.68
2026-07-03,current,搜索广告,商品详情,CPC,美妆,头部,2197446,2461140,2242099,1867668,1729461,25596,124175.3,124175.3
2026-07-03,current,直播广告,商品详情,CPM,食品,中腰部,2227393,2583776,2353820,2019578,1870129,29174,147366.17,147366.17
2026-07-03,current,信息流,直播,CPM,美妆,头部,2523414,2725287,2515440,2032476,1898333,29424,132503.64,132503.64
2026-07-03,current,搜索广告,直播,CPC,食品,中腰部,2483367,2781371,2567205,2138482,1997342,32557,153395.87,153395.87
2026-07-03,current,直播广告,直播,CPM,数码,成长型,2512239,2914197,2689804,2307852,2155534,36860,180633.75,180633.75
2026-07-04,current,信息流,首页推荐,CPM,数码,头部,1712281,1849263,1640296,1325359,1206077,13267,66093.02,66093.02
2026-07-04,current,搜索广告,首页推荐,CPC,服饰,中腰部,1657622,1856537,1646748,1371741,1248284,14730,77143.95,77143.95
2026-07-04,current,直播广告,首页推荐,CPM,美妆,成长型,1672054,1939583,1720410,1476112,1343262,16925,92416.43,92416.43
2026-07-04,current,信息流,搜索,CPM,服饰,中腰部,1945796,2101460,1889213,1526484,1401312,17516,83798.46,83798.46
2026-07-04,current,搜索广告,搜索,CPC,美妆,成长型,1910733,2140021,1923879,1602591,1471179,19567,98274.76,98274.76
2026-07-04,current,直播广告,搜索,CPM,食品,头部,1965006,2279407,2049187,1758202,1614029,22758,119115.34,119115.34
2026-07-04,current,信息流,商品详情,CPM,美妆,成长型,2285209,2468026,2248372,1816685,1682250,23551,109009.8,109009.8
2026-07-04,current,搜索广告,商品详情,CPC,食品,头部,2175970,2437086,2220185,1849414,1712557,25346,122961.59,122961.59
2026-07-04,current,直播广告,商品详情,CPM,数码,中腰部,2292215,2658969,2422321,2078351,1924553,30023,151654.78,151654.78
2026-07-04,current,信息流,直播,CPM,食品,头部,2534431,2737185,2526422,2041349,1906620,29553,133082.08,133082.08
