date,period,traffic_scene,category,gmv,orders
2026-06-20,comparison,直播,服饰,15433529.36,81229
2026-06-20,comparison,直播,美妆,16461303.95,76922
2026-06-20,comparison,直播,食品,17004939.25,71449
2026-06-20,comparison,直播,数码,18587872.21,70946
2026-06-21,comparison,首页推荐,服饰,12248273.02,64465
2026-06-21,comparison,首页推荐,美妆,12837705.79,59989
2026-06-21,comparison,首页推荐,食品,13494855.49,56701
2026-06-21,comparison,首页推荐,数码,14756262.81,56322
2026-06-21,comparison,搜索,服饰,13159189.62,69259
2026-06-21,comparison,搜索,美妆,14148686.32,66115
2026-06-21,comparison,搜索,食品,14780989.1,62105
2026-06-21,comparison,搜索,数码,15437759.21,58923
2026-06-21,comparison,商品详情,服饰,13872654.26,73014
2026-06-21,comparison,商品详情,美妆,14938192.55,69805
2026-06-21,comparison,商品详情,食品,15763480.03,66233
2026-06-21,comparison,商品详情,数码,17567109.59,67050
2026-06-21,comparison,直播,服饰,15345857.75,80768
2026-06-21,comparison,直播,美妆,16413049.41,76696
2026-06-21,comparison,直播,食品,16884864.34,70945
2026-06-21,comparison,直播,数码,18007044.97,68729
2026-06-22,comparison,首页推荐,服饰,12010503.42,63213
2026-06-22,comparison,首页推荐,美妆,12508846.01,58453
2026-06-22,comparison,首页推荐,食品,13300859.81,55886
2026-06-22,comparison,首页推荐,数码,14921983.14,56954
2026-06-22,comparison,搜索,服饰,12786598.62,67298
2026-06-22,comparison,搜索,美妆,13632512.2,63703
2026-06-22,comparison,搜索,食品,14586766.17,61289
2026-06-22,comparison,搜索,数码,15720852.18,60003
2026-06-22,comparison,商品详情,服饰,13862265.99,72959
2026-06-22,comparison,商品详情,美妆,14946303.48,69843
2026-06-22,comparison,商品详情,食品,15681418.89,65888
2026-06-22,comparison,商品详情,数码,17317806.95,66098
2026-06-22,comparison,直播,服饰,15099523.36,79471
2026-06-22,comparison,直播,美妆,16059106.89,75043
2026-06-22,comparison,直播,食品,16950788.17,71222
2026-06-22,comparison,直播,数码,18148729.08,69270
2026-06-23,comparison,首页推荐,服饰,11963442.83,62965
2026-06-23,comparison,首页推荐,美妆,13160171.93,61496
2026-06-23,comparison,首页推荐,食品,13455967.38,56538
2026-06-23,comparison,首页推荐,数码,14626641.79,55827
2026-06-23,comparison,搜索,服饰,13451820.76,70799
2026-06-23,comparison,搜索,美妆,14080236.05,65795
2026-06-23,comparison,搜索,食品,14946235.45,62799
2026-06-23,comparison,搜索,数码,15823692.47,60396
2026-06-23,comparison,商品详情,服饰,14402771.14,75804
2026-06-23,comparison,商品详情,美妆,14890781.41,69583
2026-06-23,comparison,商品详情,食品,15783383.27,66317
2026-06-23,comparison,商品详情,数码,17547094.1,66974
2026-06-23,comparison,直播,服饰,14835755.04,78083
2026-06-23,comparison,直播,美妆,16653291.37,77819
2026-06-23,comparison,直播,食品,17613185.53,74005
2026-06-23,comparison,直播,数码,18124608.36,69178
2026-06-24,comparison,首页推荐,服饰,12078828.48,63573
2026-06-24,comparison,首页推荐,美妆,12521268.0,58511
2026-06-24,comparison,首页推荐,食品,14058438.94,59069
2026-06-24,comparison,首页推荐,数码,14594415.09,55704
2026-06-24,comparison,搜索,服饰,13010533.31,68476
2026-06-24,comparison,搜索,美妆,14293992.83,66794
2026-06-24,comparison,搜索,食品,14484047.3,60857
2026-06-24,comparison,搜索,数码,15476088.51,59069
2026-06-24,comparison,商品详情,服饰,14341387.68,75481
2026-06-24,comparison,商品详情,美妆,15366737.25,71807
2026-06-24,comparison,商品详情,食品,15848706.69,66591
2026-06-24,comparison,商品详情,数码,17550713.33,66987
2026-06-24,comparison,直播,服饰,15252363.52,80276
2026-06-24,comparison,直播,美妆,16388212.61,76580
2026-06-24,comparison,直播,食品,17488195.65,73480
2026-06-24,comparison,直播,数码,18020469.75,68780
2026-06-25,comparison,首页推荐,服饰,11872968.11,62489
2026-06-25,comparison,首页推荐,美妆,12967134.31,60594
2026-06-25,comparison,首页推荐,食品,13705048.92,57584
2026-06-25,comparison,首页推荐,数码,14360925.0,54813
2026-06-25,comparison,搜索,服饰,13336397.7,70192
2026-06-25,comparison,搜索,美妆,14203233.99,66370
2026-06-25,comparison,搜索,食品,15311707.4,64335
2026-06-25,comparison,搜索,数码,15661873.41,59778
2026-06-25,comparison,商品详情,服饰,14185248.98,74659
2026-06-25,comparison,商品详情,美妆,14830991.72,69304
2026-06-25,comparison,商品详情,食品,15836560.33,66540
2026-06-25,comparison,商品详情,数码,17005964.89,64908
2026-06-25,comparison,直播,服饰,15517724.95,81672
2026-06-25,comparison,直播,美妆,16051646.17,75008
2026-06-25,comparison,直播,食品,17162705.59,72112
2026-06-25,comparison,直播,数码,18073565.43,68983
2026-06-26,comparison,首页推荐,服饰,11771454.98,61955
2026-06-26,comparison,首页推荐,美妆,13066552.3,61059
2026-06-26,comparison,首页推荐,食品,13917386.43,58476
2026-06-26,comparison,首页推荐,数码,14855108.77,56699
2026-06-26,comparison,搜索,服饰,13423684.62,70651
2026-06-26,comparison,搜索,美妆,14334829.13,66985
2026-06-26,comparison,搜索,食品,15155970.18,63681
2026-06-26,comparison,搜索,数码,16298896.24,62210
2026-06-26,comparison,商品详情,服饰,14124034.89,74337
2026-06-26,comparison,商品详情,美妆,15258419.81,71301
2026-06-26,comparison,商品详情,食品,16528432.38,69447
2026-06-26,comparison,商品详情,数码,16898786.69,64499
2026-06-26,comparison,直播,服饰,15144425.63,79708
2026-06-26,comparison,直播,美妆,16368718.64,76489
2026-06-26,comparison,直播,食品,17805370.82,74812
2026-06-26,comparison,直播,数码,18177760.53,69381
2026-06-27,comparison,首页推荐,服饰,12183976.4,64126
2026-06-27,comparison,首页推荐,美妆,12976053.76,60636
2026-06-27,comparison,首页推荐,食品,13856663.62,58221
2026-06-27,comparison,首页推荐,数码,14367266.69,54837
2026-06-27,comparison,搜索,服饰,12973339.88,68281
2026-06-27,comparison,搜索,美妆,14044508.23,65629
2026-06-27,comparison,搜索,食品,14522433.4,61019
2026-06-27,comparison,搜索,数码,15637883.79,59687
2026-06-27,comparison,商品详情,服饰,14073254.84,74070
2026-06-27,comparison,商品详情,美妆,15003672.74,70111
2026-06-27,comparison,商品详情,食品,16422155.19,69001
2026-06-27,comparison,商品详情,数码,17036141.61,65023
2026-06-27,comparison,直播,服饰,15020392.94,79055
2026-06-27,comparison,直播,美妆,16618600.41,77657
2026-06-27,comparison,直播,食品,17252039.59,72488
2026-06-27,comparison,直播,数码,17985812.79,68648
2026-06-28,comparison,首页推荐,服饰,11685412.68,61502
2026-06-28,comparison,首页推荐,美妆,13186136.86,61617
2026-06-28,comparison,首页推荐,食品,13822615.1,58078
2026-06-28,comparison,首页推荐,数码,14911607.93,56915
2026-06-28,comparison,搜索,服饰,12691852.64,66799
2026-06-28,comparison,搜索,美妆,13864861.46,64789
2026-06-28,comparison,搜索,食品,15358228.25,64530
2026-06-28,comparison,搜索,数码,15852050.38,60504
2026-06-28,comparison,商品详情,服饰,14473169.69,76175
2026-06-28,comparison,商品详情,美妆,15083193.91,70482
2026-06-28,comparison,商品详情,食品,16434726.44,69053
2026-06-28,comparison,商品详情,数码,16771731.94,64014
2026-06-28,comparison,直播,服饰,15440124.08,81264
2026-06-28,comparison,直播,美妆,16419613.72,76727
2026-06-28,comparison,直播,食品,17464279.46,73379
2026-06-28,comparison,直播,数码,18048704.96,68888
2026-06-29,comparison,首页推荐,服饰,11886018.72,62558
2026-06-29,comparison,首页推荐,美妆,13196518.32,61666
2026-06-29,comparison,首页推荐,食品,13993394.15,58796
2026-06-29,comparison,首页推荐,数码,14131586.01,53937
2026-06-29,comparison,搜索,服饰,12700240.21,66843
2026-06-29,comparison,搜索,美妆,14322858.01,66929
2026-06-29,comparison,搜索,食品,15297034.25,64273
2026-06-29,comparison,搜索,数码,15910891.85,60729
2026-06-29,comparison,商品详情,服饰,13803664.77,72651
2026-06-29,comparison,商品详情,美妆,15358439.35,71768
2026-06-29,comparison,商品详情,食品,16261095.53,68324
2026-06-29,comparison,商品详情,数码,17069827.9,65152
2026-06-29,comparison,直播,服饰,15202634.53,80014
2026-06-29,comparison,直播,美妆,16184935.04,75631
2026-06-29,comparison,直播,食品,17771845.97,74672
2026-06-29,comparison,直播,数码,18279096.13,69768
2026-06-30,comparison,首页推荐,服饰,12137740.98,63883
2026-06-30,comparison,首页推荐,美妆,12626707.47,59003
2026-06-30,comparison,首页推荐,食品,13737026.74,57719
2026-06-30,comparison,首页推荐,数码,14742893.43,56271
2026-06-30,comparison,搜索,服饰,13420203.94,70633
2026-06-30,comparison,搜索,美妆,13747295.44,64240
2026-06-30,comparison,搜索,食品,14885493.33,62544
2026-06-30,comparison,搜索,数码,15637004.87,59683
2026-06-30,comparison,商品详情,服饰,14424822.54,75920
2026-06-30,comparison,商品详情,美妆,15239039.47,71210
2026-06-30,comparison,商品详情,食品,15930029.93,66933
2026-06-30,comparison,商品详情,数码,17264771.84,65896
2026-06-30,comparison,直播,服饰,15550863.11,81847
2026-06-30,comparison,直播,美妆,15862318.72,74123
2026-06-30,comparison,直播,食品,16955163.94,71240
2026-06-30,comparison,直播,数码,18636026.75,71130
2026-07-01,current,首页推荐,服饰,13383563.79,70440
2026-07-01,current,首页推荐,美妆,13858924.85,64761
2026-07-01,current,首页推荐,食品,15280829.5,64205
2026-07-01,current,首页推荐,数码,15541903.61,59320
2026-07-01,current,搜索,服饰,14523216.46,76438
2026-07-01,current,搜索,美妆,15592728.72,72863
2026-07-01,current,搜索,食品,16065435.45,67502
2026-07-01,current,搜索,数码,17028299.16,64994
2026-07-01,current,商品详情,服饰,15438019.38,81253
2026-07-01,current,商品详情,美妆,16186504.33,75638
2026-07-01,current,商品详情,食品,17730609.61,74498
2026-07-01,current,商品详情,数码,18866630.05,72010
2026-07-01,current,直播,服饰,17036978.48,89668
2026-07-01,current,直播,美妆,17778073.11,83075
2026-07-01,current,直播,食品,19193192.05,80644
2026-07-01,current,直播,数码,20186378.06,77047
2026-07-02,current,首页推荐,服饰,13411654.18,70588
2026-07-02,current,首页推荐,美妆,13876813.66,64845
2026-07-02,current,首页推荐,食品,14995104.49,63005
2026-07-02,current,首页推荐,数码,15880299.54,60612
2026-07-02,current,搜索,服饰,14270924.0,75110
2026-07-02,current,搜索,美妆,15399510.08,71960
2026-07-02,current,搜索,食品,15889135.68,66761
2026-07-02,current,搜索,数码,16903556.98,64517
2026-07-02,current,商品详情,服饰,15038678.28,79151
2026-07-02,current,商品详情,美妆,16457497.94,76904
2026-07-02,current,商品详情,食品,17193092.3,72240
2026-07-02,current,商品详情,数码,19160683.65,73132
2026-07-02,current,直播,服饰,17074113.44,89864
2026-07-02,current,直播,美妆,18147739.55,84803
2026-07-02,current,直播,食品,18571578.95,78032
2026-07-02,current,直播,数码,20678631.48,78926
2026-07-03,current,首页推荐,服饰,13073416.57,68807
2026-07-03,current,首页推荐,美妆,13756653.46,64283
2026-07-03,current,首页推荐,食品,14687402.96,61712
2026-07-03,current,首页推荐,数码,15830241.66,60421
2026-07-03,current,搜索,服饰,14139036.23,74416
2026-07-03,current,搜索,美妆,15256174.14,71291
2026-07-03,current,搜索,食品,16100276.84,67648
2026-07-03,current,搜索,数码,16755786.91,63953
2026-07-03,current,商品详情,服饰,15456154.74,81348
2026-07-03,current,商品详情,美妆,16190058.11,75654
2026-07-03,current,商品详情,食品,17781381.78,74712
2026-07-03,current,商品详情,数码,18686107.78,71321
2026-07-03,current,直播,服饰,17048472.24,89729
2026-07-03,current,直播,美妆,17318788.32,80929
2026-07-03,current,直播,食品,19457538.91,81754
2026-07-03,current,直播,数码,20363387.45,77723
2026-07-04,current,首页推荐,服饰,12993336.99,68386
2026-07-04,current,首页推荐,美妆,14041071.78,65612
2026-07-04,current,首页推荐,食品,15038634.07,63188
2026-07-04,current,首页推荐,数码,15677653.15,59838
2026-07-04,current,搜索,服饰,14142764.96,74436
2026-07-04,current,搜索,美妆,15390419.04,71918
2026-07-04,current,搜索,食品,16057861.69,67470
2026-07-04,current,搜索,数码,17313505.0,66082
2026-07-04,current,商品详情,服饰,15620381.26,82213
2026-07-04,current,商品详情,美妆,16861276.31,78791
2026-07-04,current,商品详情,食品,17328224.42,72808
2026-07-04,current,商品详情,数码,18493605.7,70586
2026-07-04,current,直播,服饰,16767870.26,88252
2026-07-04,current,直播,美妆,17707392.82,82745
2026-07-04,current,直播,食品,19237821.23,80831
2026-07-04,current,直播,数码,20561671.8,78480
2026-07-05,current,首页推荐,服饰,12781046.67,67269
2026-07-05,current,首页推荐,美妆,14364230.09,67123
2026-07-05,current,首页推荐,食品,14509754.64,60965
2026-07-05,current,首页推荐,数码,15372722.88,58675
2026-07-05,current,搜索,服饰,13964194.56,73496
2026-07-05,current,搜索,美妆,15195453.53,71007
2026-07-05,current,搜索,食品,16411469.04,68956
2026-07-05,current,搜索,数码,17314570.29,66086
2026-07-05,current,商品详情,服饰,15246453.86,80244
2026-07-05,current,商品详情,美妆,16407604.42,76671
2026-07-05,current,商品详情,食品,17859759.72,75041
2026-07-05,current,商品详情,数码,19044973.29,72691
2026-07-05,current,直播,服饰,16854390.92,88707
2026-07-05,current,直播,美妆,18061570.59,84400
2026-07-05,current,直播,食品,18616072.67,78219
2026-07-05,current,直播,数码,20395175.55,77844
2026-07-06,current,首页推荐,服饰,12733780.66,67020
2026-07-06,current,首页推荐,美妆,13585321.45,63483
2026-07-06,current,首页推荐,食品,14785725.24,62125
2026-07-06,current,首页推荐,数码,16084750.0,61392
2026-07-06,current,搜索,服饰,13968290.14,73517
2026-07-06,current,搜索,美妆,15040760.21,70284
2026-07-06,current,搜索,食品,15774263.29,66278
2026-07-06,current,搜索,数码,17451926.76,66610
2026-07-06,current,商品详情,服饰,15461654.05,81377
2026-07-06,current,商品详情,美妆,16082689.24,75153
2026-07-06,current,商品详情,食品,17612920.4,74004
2026-07-06,current,商品详情,数码,19062542.93,72758
2026-07-06,current,直播,服饰,16385973.07,86242
2026-07-06,current,直播,美妆,17781524.93,83091
2026-07-06,current,直播,食品,19121365.29,80342
2026-07-06,current,直播,数码,19686512.65,75139
2026-07-07,current,首页推荐,服饰,12805082.96,67395
2026-07-07,current,首页推荐,美妆,13915878.61,65027
2026-07-07,current,首页推荐,食品,15060735.56,63280
2026-07-07,current,首页推荐,数码,15674948.19,59828
2026-07-07,current,搜索,服饰,14005046.93,73711
2026-07-07,current,搜索,美妆,15097566.86,70549
2026-07-07,current,搜索,食品,16177135.78,67971
2026-07-07,current,搜索,数码,17494830.06,66774
2026-07-07,current,商品详情,服饰,15769789.35,82999
2026-07-07,current,商品详情,美妆,16313884.52,76233
2026-07-07,current,商品详情,食品,17831362.59,74922
2026-07-07,current,商品详情,数码,18300304.25,69848
2026-07-07,current,直播,服饰,16478191.61,86727
2026-07-07,current,直播,美妆,17596266.04,82226
2026-07-07,current,直播,食品,18864048.89,79261
2026-07-07,current,直播,数码,19894296.98,75932
2026-07-08,current,首页推荐,服饰,13150567.9,69214
2026-07-08,current,首页推荐,美妆,14085697.02,65821
2026-07-08,current,首页推荐,食品,15038812.39,63188
2026-07-08,current,首页推荐,数码,15790703.55,60270
2026-07-08,current,搜索,服饰,14002105.83,73695
2026-07-08,current,搜索,美妆,15419404.55,72053
2026-07-08,current,搜索,食品,16416668.52,68978
2026-07-08,current,搜索,数码,16769484.03,64006
2026-07-08,current,商品详情,服饰,15163289.33,79807
2026-07-08,current,商品详情,美妆,16572323.75,77441
2026-07-08,current,商品详情,食品,17699956.09,74370
2026-07-08,current,商品详情,数码,19017172.01,72585
2026-07-08,current,直播,服饰,16661459.31,87692
2026-07-08,current,直播,美妆,17326620.99,80966
2026-07-08,current,直播,食品,18420892.69,77399
2026-07-08,current,直播,数码,20023623.1,76426
2026-07-09,current,首页推荐,服饰,12965776.93,68241
2026-07-09,current,首页推荐,美妆,13611670.08,63606
2026-07-09,current,首页推荐,食品,15026561.22,63137
2026-07-09,current,首页推荐,数码,15690843.61,59889
2026-07-09,current,搜索,服饰,13974820.87,73552
2026-07-09,current,搜索,美妆,15159635.63,70839
2026-07-09,current,搜索,食品,16612284.25,69800
2026-07-09,current,搜索,数码,17461504.67,66647
2026-07-09,current,商品详情,服饰,15643647.75,82335
2026-07-09,current,商品详情,美妆,16848241.12,78730
2026-07-09,current,商品详情,食品,17709171.63,74408
2026-07-09,current,商品详情,数码,18653467.05,71196
2026-07-09,current,直播,服饰,16556120.51,87137
2026-07-09,current,直播,美妆,17907287.93,83679
2026-07-09,current,直播,食品,18711439.26,78619
2026-07-09,current,直播,数码,20078517.16,76636
2026-07-10,current,首页推荐,服饰,13463525.59,70861
2026-07-10,current,首页推荐,美妆,14253091.09,66603
2026-07-10,current,首页推荐,食品,14849130.16,62391
2026-07-10,current,首页推荐,数码,16045231.71,61241
2026-07-10,current,搜索,服饰,14061393.68,74007
2026-07-10,current,搜索,美妆,14981255.05,70006
2026-07-10,current,搜索,食品,16391434.22,68872
2026-07-10,current,搜索,数码,16893671.86,64480
2026-07-10,current,商品详情,服饰,15590395.02,82055
2026-07-10,current,商品详情,美妆,16419812.23,76728
2026-07-10,current,商品详情,食品,17544513.23,73716
2026-07-10,current,商品详情,数码,19218709.96,73354
2026-07-10,current,直播,服饰,16371309.44,86165
2026-07-10,current,直播,美妆,18291502.78,85474
2026-07-10,current,直播,食品,19339725.75,81259
2026-07-10,current,直播,数码,20165338.76,76967
2026-07-11,current,首页推荐,服饰,13170508.25,69318
2026-07-11,current,首页推荐,美妆,14005702.53,65447
2026-07-11,current,首页推荐,食品,15318943.13,64365
2026-07-11,current,首页推荐,数码,16018929.34,61141
2026-07-11,current,搜索,服饰,14149691.47,74472
2026-07-11,current,搜索,美妆,15506043.54,72458
2026-07-11,current,搜索,食品,16446539.82,69103
2026-07-11,current,搜索,数码,17586721.98,67125
2026-07-11,current,商品详情,服饰,15091488.87,79429
2026-07-11,current,商品详情,美妆,16479046.57,77005
2026-07-11,current,商品详情,食品,17556783.07,73768
2026-07-11,current,商品详情,数码,18722661.63,71461
2026-07-11,current,直播,服饰,16913801.67,89020
2026-07-11,current,直播,美妆,17497353.89,81763
2026-07-11,current,直播,食品,19064474.79,80103
2026-07-11,current,直播,数码,20302054.02,77489
2026-07-12,current,首页推荐,服饰,13091724.77,68904
2026-07-12,current,首页推荐,美妆,13905642.81,64980
2026-07-12,current,首页推荐,食品,14958805.3,62852
2026-07-12,current,首页推荐,数码,16086405.62,61398
2026-07-12,current,搜索,服饰,14017798.54,73778
2026-07-12,current,搜索,美妆,15142890.17,70761
2026-07-12,current,搜索,食品,16577859.43,69655
2026-07-12,current,搜索,数码,16781893.91,64053
2026-07-12,current,商品详情,服饰,15768373.57,82991
2026-07-12,current,商品详情,美妆,16663324.82,77866
2026-07-12,current,商品详情,食品,18058358.85,75875
2026-07-12,current,商品详情,数码,18121303.5,69165
2026-07-12,current,直播,服饰,16756303.32,88191
2026-07-12,current,直播,美妆,18297966.33,85505
2026-07-12,current,直播,食品,19022445.54,79926
2026-07-12,current,直播,数码,20254691.21,77308
2026-07-13,current,首页推荐,服饰,13335626.76,70188
2026-07-13,current,首页推荐,美妆,13699120.92,64015
2026-07-13,current,首页推荐,食品,14870464.59,62481
2026-07-13,current,首页推荐,数码,16041728.81,61228
2026-07-13,current,搜索,服饰,14265065.43,75079
2026-07-13,current,搜索,美妆,15242050.94,71225
2026-07-13,current,搜索,食品,16210475.41,68111
2026-07-13,current,搜索,数码,17432894.6,66538
2026-07-13,current,商品详情,服饰,15419501.24,81155
2026-07-13,current,商品详情,美妆,16719432.2,78128
2026-07-13,current,商品详情,食品,17368033.93,72975
2026-07-13,current,商品详情,数码,18558889.36,70835
2026-07-13,current,直播,服饰,16375266.54,86186
2026-07-13,current,直播,美妆,18083005.83,84500
2026-07-13,current,直播,食品,19399347.24,81510
2026-07-13,current,直播,数码,20261609.58,77334
2026-07-14,current,首页推荐,服饰,12949056.88,68153
2026-07-14,current,首页推荐,美妆,13614462.81,63619
2026-07-14,current,首页推荐,食品,15324381.95,64388
2026-07-14,current,首页推荐,数码,15577328.33,59455
2026-07-14,current,搜索,服饰,13933676.87,73335
2026-07-14,current,搜索,美妆,14944446.58,69834
2026-07-14,current,搜索,食品,15978975.5,67139
2026-07-14,current,搜索,数码,17475077.9,66699
2026-07-14,current,商品详情,服饰,15847401.92,83407
2026-07-14,current,商品详情,美妆,16205735.06,75728
2026-07-14,current,商品详情,食品,17118798.41,71928
2026-07-14,current,商品详情,数码,18679378.2,71295
2026-07-14,current,直播,服饰,16814026.24,88495
2026-07-14,current,直播,美妆,17889534.99,83596
2026-07-14,current,直播,食品,19334463.17,81237
2026-07-14,current,直播,数码,19671917.25,75084
