date,confirmed_gross
2025-08-31,7605637.21
2025-09-01,8187830.09
2025-09-02,8280874.48
2025-09-03,8188483.6
2025-09-04,8037924.4
2025-09-05,8213911.7
2025-09-06,7572650.9
2025-09-07,7438149.23
2025-09-08,8129438.78
2025-09-09,8152200.26
2025-09-10,8429753.19
2025-09-11,8209206.51
2025-09-12,8123502.92
2025-09-13,7373267.23
2025-09-14,7500787.4
2025-09-15,8270533.65
2025-09-16,8080908.49
2025-09-17,8239571.56
2025-09-18,8403440.78
2025-09-19,8169907.39
2025-09-20,7254000.71
2025-09-21,7403112.07
2025-09-22,8496007.74
2025-09-23,8112401.73
2025-09-24,8104719.7
2025-09-25,8204908.59
2025-09-26,8252015.56
2025-09-27,7297285.36
2025-09-28,7315879.92
2025-09-29,8192691.02
2025-09-30,8339776.55
2025-10-01,8181442.11
2025-10-02,8166340.82
2025-10-03,8116049.48
2025-10-04,7269991.02
2025-10-05,7298853.6
2025-10-06,8263333.22
2025-10-07,8161202.68
2025-10-08,7999748.1
2025-10-09,8194321.27
2025-10-10,8282788.84
2025-10-11,7343895.18
2025-10-12,7298862.67
2025-10-13,8183356.29
2025-10-14,8357730.27
2025-10-15,8109561.02
2025-10-16,7952472.13
2025-10-17,8110521.43
2025-10-18,7399031.79
2025-10-19,7301541.73
2025-10-20,8044852.43
2025-10-21,8127144.35
2025-10-22,8379635.85
2025-10-23,8151751.46
2025-10-24,7967286.26
2025-10-25,7296090.34
2025-10-26,7570900.34
2025-10-27,8125322.98
2025-10-28,8029623.79
2025-10-29,8099584.75
2025-10-30,8336697.43
2025-10-31,8115963.98
2025-11-01,7380290.35
2025-11-02,7604095.31
2025-11-03,8204874.23
2025-11-04,8105321.35
2025-11-05,8153093.53
2025-11-06,8490277.85
2025-11-07,8224059.28
2025-11-08,7295106.5
2025-11-09,7392054.03
2025-11-10,8458517.36
2025-11-11,8158431.37
2025-11-12,8194083.6
2025-11-13,8251022.68
2025-11-14,8438476.55
2025-11-15,7384852.2
2025-11-16,7394973.88
2025-11-17,8291004.53
2025-11-18,8324704.16
2025-11-19,8188606.82
2025-11-20,8090788.29
2025-11-21,8241985.47
2025-11-22,7590700.41
2025-11-23,7216062.04
2025-11-24,8131407.45
2025-11-25,8097183.55
2025-11-26,8405486.86
2025-11-27,8174452.48
2025-11-28,8112428.59
2025-11-29,7371150.36
2025-11-30,7521259.76
2025-12-01,8405343.5
2025-12-02,8488425.94
2025-12-03,8408467.66
2025-12-04,8419571.85
2025-12-05,8346282.42
2025-12-06,7729596.07
2025-12-07,7590485.93
2025-12-08,8308560.27
2025-12-09,8486310.0
2025-12-10,8624426.89
2025-12-11,8366122.06
2025-12-12,8316614.81
2025-12-13,7635205.15
2025-12-14,7745858.63
2025-12-15,8375887.58
2025-12-16,8344552.77
2025-12-17,8436552.65
2025-12-18,8633397.49
2025-12-19,8410186.15
2025-12-20,7544494.53
2025-12-21,7665012.67
2025-12-22,8598150.19
2025-12-23,8446339.6
2025-12-24,8300018.11
2025-12-25,8433377.62
2025-12-26,8534058.02
2025-12-27,7557306.82
2025-12-28,7473774.03
2025-12-29,8470816.59
2025-12-30,8477750.78
2025-12-31,8514299.2
2026-01-01,9435485.97
2026-01-02,9619154.3
2026-01-03,8526374.87
2026-01-04,8553568.83
2026-01-05,9382250.8
2026-01-06,9669268.12
2026-01-07,9368651.93
2026-01-08,9429428.57
2026-01-09,9530909.31
2026-01-10,8783716.65
2026-01-11,8570134.92
2026-01-12,9411609.64
2026-01-13,9398440.77
2026-01-14,9614245.58
2026-01-15,9450649.9
2026-01-16,9272272.51
2026-01-17,8482676.02
2026-01-18,8728372.89
2026-01-19,9498993.4
2026-01-20,9424998.15
2026-01-21,9528522.36
2026-01-22,9647226.0
2026-01-23,9457166.55
2026-01-24,8499997.92
2026-01-25,8550663.24
2026-01-26,9707152.4
2026-01-27,9391486.56
2026-01-28,9378307.68
2026-01-29,9326127.09
2026-01-30,9722009.57
2026-01-31,8558448.72
2026-02-01,9039806.65
2026-02-02,9971039.61
2026-02-03,9800072.67
2026-02-04,9639403.8
2026-02-05,9789003.04
2026-02-06,10040078.14
2026-02-07,8806306.18
2026-02-08,8737252.19
2026-02-09,9754910.59
2026-02-10,10070140.58
2026-02-11,9645589.71
2026-02-12,9777015.13
2026-02-13,9731899.68
2026-02-14,9103716.39
2026-02-15,8889973.17
2026-02-16,9659940.55
2026-02-17,9855319.23
2026-02-18,10087824.76
2026-02-19,9671791.49
2026-02-20,9830457.49
2026-02-21,8870738.77
2026-02-22,9065689.84
2026-02-23,9875603.97
2026-02-24,9706068.48
2026-02-25,9805141.94
2026-02-26,10019835.02
2026-02-27,9725744.59
2026-02-28,8722876.86
2026-03-01,9154798.82
2026-03-02,10250427.19
2026-03-03,10136702.52
2026-03-04,10007996.73
2026-03-05,10114730.42
2026-03-06,10270118.79
2026-03-07,9071732.66
2026-03-08,8963376.7
2026-03-09,10008512.23
2026-03-10,10317989.59
2026-03-11,10008905.78
2026-03-12,9904022.18
2026-03-13,10009829.38
2026-03-14,9323432.63
2026-03-15,9029577.21
2026-03-16,9905726.73
2026-03-17,10110313.11
2026-03-18,10241142.07
2026-03-19,9981853.87
2026-03-20,9990510.53
2026-03-21,9046346.01
2026-03-22,9291915.43
2026-03-23,10008220.46
2026-03-24,9886718.43
2026-03-25,10055444.92
2026-03-26,10244734.94
2026-03-27,10046538.37
2026-03-28,8993313.85
2026-03-29,8980015.66
2026-03-30,10258071.65
2026-03-31,10123451.85
2026-04-01,10045404.96
2026-04-02,10270456.32
2026-04-03,10155241.73
2026-04-04,8980113.93
2026-04-05,9260163.96
2026-04-06,10375827.1
2026-04-07,10126048.21
2026-04-08,9909234.41
2026-04-09,10285830.62
2026-04-10,10340805.76
2026-04-11,9225342.3
2026-04-12,9071172.58
2026-04-13,10199743.13
2026-04-14,10313958.78
2026-04-15,10098926.23
2026-04-16,10066970.97
2026-04-17,10018616.77
2026-04-18,9376353.89
2026-04-19,9033661.57
2026-04-20,9972651.03
2026-04-21,10103177.17
2026-04-22,10336818.11
2026-04-23,10206115.32
2026-04-24,10002486.55
2026-04-25,9211043.85
2026-04-26,9369000.86
2026-04-27,10067043.73
2026-04-28,9928624.93
2026-04-29,10108297.4
2026-04-30,10347227.04
2026-05-01,9864415.47
2026-05-02,9268303.54
2026-05-03,8936431.51
2026-05-04,9798013.3
2026-05-05,9930665.26
2026-05-06,10207619.42
2026-05-07,9973541.19
2026-05-08,9928023.17
2026-05-09,9113063.13
2026-05-10,9172795.64
2026-05-11,9937903.69
2026-05-12,9966135.55
2026-05-13,9947956.9
2026-05-14,10268628.23
2026-05-15,9920321.4
2026-05-16,8904321.33
2026-05-17,9028162.21
2026-05-18,10127843.97
2026-05-19,10093575.86
2026-05-20,9918205.56
2026-05-21,10006501.62
2026-05-22,10097612.5
2026-05-23,8995823.36
2026-05-24,8844531.24
2026-05-25,10150507.53
2026-05-26,10279646.22
2026-05-27,9901060.97
2026-05-28,9945532.95
2026-05-29,9951616.44
2026-05-30,9363052.82
2026-05-31,9042193.82
2026-06-01,11903679.93
2026-06-02,12111063.06
2026-06-03,11981953.6
2026-06-04,11797944.2
2026-06-05,11872696.83
2026-06-06,11057501.91
2026-06-07,10762950.71
2026-06-08,11797420.13
2026-06-09,11996765.82
2026-06-10,12252276.05
2026-06-11,11803161.02
2026-06-12,11839479.74
2026-06-13,10899610.2
2026-06-14,11109461.17
2026-06-15,11949704.32
2026-06-16,11797206.81
2026-06-17,12021983.35
2026-06-18,12182433.73
2026-06-19,11941692.79
2026-06-20,10692503.16
2026-06-21,8825572.57
2026-06-22,10028301.91
2026-06-23,9774671.33
2026-06-24,9698258.43
2026-06-25,9747976.55
2026-06-26,10052191.64
2026-06-27,8716583.46
2026-06-28,8738513.56
2026-06-29,9692764.67
2026-06-30,9923170.9
2026-07-01,9627634.23
2026-07-02,9539848.59
2026-07-03,9633555.61
2026-07-04,8566191.08
2026-07-05,8666913.19
2026-07-06,9611906.83
2026-07-07,9527264.21
2026-07-08,9440741.64
2026-07-09,9593995.15
2026-07-10,10204459.71
2026-07-11,9455591.57
2026-07-12,9227318.97
2026-07-13,9594155.38
2026-07-14,10401496.25
2026-07-15,9762586.7
2026-07-16,10255567.03
2026-07-17,9874782.4
2026-07-18,9483885.01
2026-07-19,8766517.57
2026-07-20,10660263.31
2026-07-21,10151125.57
2026-07-22,10723005.81
2026-07-23,10185666.35
2026-07-24,10546422.08
2026-07-25,9188636.88
