date,refund_amount
2025-09-17,18910.94
2025-09-18,32425.23
2025-09-19,30782.02
2025-09-20,28562.81
2025-09-21,27883.35
2025-09-22,28525.11
2025-09-23,21974.94
2025-09-24,22450.67
2025-09-25,31460.26
2025-09-26,27506.28
2025-09-27,23938.17
2025-09-28,26983.14
2025-09-29,16554.45
2025-09-30,19358.69
2025-10-01,31516.33
2025-10-02,28400.01
2025-10-03,19463.35
2025-10-04,28219.58
2025-10-05,21022.46
2025-10-06,19264.65
2025-10-07,27137.6
2025-10-08,18566.57
2025-10-09,24429.2
2025-10-10,25289.4
2025-10-11,20533.46
2025-10-12,16880.24
2025-10-13,20258.26
2025-10-14,32958.35
2025-10-15,31312.54
2025-10-16,19131.13
2025-10-17,32372.01
2025-10-18,18422.64
2025-10-19,16906.49
2025-10-20,24788.9
2025-10-21,21898.74
2025-10-22,21777.44
2025-10-23,21197.04
2025-10-24,20663.5
2025-10-25,27425.45
2025-10-26,21899.05
2025-10-27,32261.73
2025-10-28,31928.57
2025-10-29,19080.89
2025-10-30,28887.04
2025-10-31,22686.56
2025-11-01,20003.84
2025-11-02,25241.81
2025-11-03,23887.38
2025-11-04,16393.57
2025-11-05,18824.07
2025-11-06,23683.91
2025-11-07,19709.14
2025-11-08,15989.81
2025-11-09,27873.59
2025-11-10,25153.61
2025-11-11,20407.52
2025-11-12,30109.48
2025-11-13,28947.73
2025-11-14,29002.52
2025-11-15,15759.48
2025-11-16,21227.66
2025-11-17,31003.68
2025-11-18,19808.01
2025-11-19,24292.62
2025-11-20,28824.3
2025-11-21,26472.13
2025-11-22,26954.89
2025-11-23,26693.82
2025-11-24,21529.63
2025-11-25,19314.85
2025-11-26,20453.25
2025-11-27,17053.64
2025-11-28,24159.91
2025-11-29,17224.99
2025-11-30,28023.61
2025-12-01,33257.69
2025-12-02,26714.17
2025-12-03,25756.76
2025-12-04,23729.07
2025-12-05,28823.11
2025-12-06,17661.77
2025-12-07,20325.43
2025-12-08,27774.42
2025-12-09,32903.25
2025-12-10,27744.48
2025-12-11,25756.54
2025-12-12,26424.83
2025-12-13,15450.77
2025-12-14,30566.6
2025-12-15,19931.8
2025-12-16,28461.03
2025-12-17,27548.05
2025-12-18,18893.35
2025-12-19,28468.36
2025-12-20,23362.48
2025-12-21,22687.7
2025-12-22,33646.31
2025-12-23,23272.6
2025-12-24,19903.87
2025-12-25,19372.53
2025-12-26,24377.52
2025-12-27,18677.28
2025-12-28,18500.76
2025-12-29,21615.93
2025-12-30,20870.69
2025-12-31,27782.95
2026-01-01,25676.88
2026-01-02,25235.09
2026-01-03,22566.77
2026-01-04,33103.47
2026-01-05,31670.91
2026-01-06,23499.77
2026-01-07,28019.83
2026-01-08,33109.9
2026-01-09,20727.06
2026-01-10,19064.67
2026-01-11,28100.31
2026-01-12,29520.22
2026-01-13,29469.34
2026-01-14,22560.36
2026-01-15,20469.0
2026-01-16,18777.6
2026-01-17,30006.99
2026-01-18,17964.43
2026-01-19,38106.03
2026-01-20,25612.69
2026-01-21,32297.79
2026-01-22,23461.82
2026-01-23,35272.03
2026-01-24,17820.47
2026-01-25,34080.21
2026-01-26,37041.91
2026-01-27,20943.12
2026-01-28,19824.08
2026-01-29,24839.51
2026-01-30,31241.21
2026-01-31,30207.08
2026-02-01,33483.0
2026-02-02,38638.69
2026-02-03,38972.06
2026-02-04,23978.22
2026-02-05,38810.54
2026-02-06,40162.08
2026-02-07,24379.62
2026-02-08,17838.79
2026-02-09,19913.78
2026-02-10,33944.4
2026-02-11,20160.44
2026-02-12,30589.74
2026-02-13,30832.84
2026-02-14,26135.87
2026-02-15,23390.8
2026-02-16,27258.98
2026-02-17,34315.86
2026-02-18,33283.18
2026-02-19,29120.23
2026-02-20,34016.92
2026-02-21,28550.37
2026-02-22,34504.09
2026-02-23,37224.38
2026-02-24,38083.71
2026-02-25,23516.59
2026-02-26,37231.17
2026-02-27,26208.37
2026-02-28,29756.31
2026-03-01,29592.43
2026-03-02,21152.92
2026-03-03,23197.39
2026-03-04,33374.07
2026-03-05,33095.49
2026-03-06,28792.08
2026-03-07,36263.48
2026-03-08,26332.81
2026-03-09,27021.31
2026-03-10,34396.29
2026-03-11,26591.68
2026-03-12,30244.25
2026-03-13,33601.28
2026-03-14,35398.36
2026-03-15,22698.73
2026-03-16,23564.21
2026-03-17,21192.73
2026-03-18,20875.89
2026-03-19,33552.65
2026-03-20,33546.12
2026-03-21,26194.17
2026-03-22,27234.7
2026-03-23,39611.19
2026-03-24,39593.82
2026-03-25,31357.08
2026-03-26,25968.39
2026-03-27,33482.29
2026-03-28,32970.42
2026-03-29,32890.14
2026-03-30,21226.86
2026-03-31,26942.23
2026-04-01,24043.72
2026-04-02,27514.41
2026-04-03,28874.48
2026-04-04,22070.2
2026-04-05,28894.8
2026-04-06,37580.46
2026-04-07,33063.07
2026-04-08,23457.21
2026-04-09,40905.89
2026-04-10,23651.56
2026-04-11,32178.47
2026-04-12,32131.65
2026-04-13,38866.96
2026-04-14,33754.33
2026-04-15,33114.96
2026-04-16,23818.81
2026-04-17,21193.77
2026-04-18,33018.7
2026-04-19,28197.31
2026-04-20,38600.24
2026-04-21,39097.8
2026-04-22,26771.17
2026-04-23,27736.04
2026-04-24,29784.51
2026-04-25,20899.86
2026-04-26,27871.83
2026-04-27,27373.48
2026-04-28,29256.76
2026-04-29,40044.38
2026-04-30,23352.32
2026-05-01,30160.89
2026-05-02,28587.76
2026-05-03,22202.52
2026-05-04,24690.77
2026-05-05,33054.37
2026-05-06,39605.75
2026-05-07,29782.53
2026-05-08,26775.34
2026-05-09,23730.17
2026-05-10,20469.91
2026-05-11,25527.0
2026-05-12,36077.34
2026-05-13,38651.3
2026-05-14,26063.29
2026-05-15,37413.99
2026-05-16,24041.74
2026-05-17,33572.05
2026-05-18,30702.99
2026-05-19,35466.3
2026-05-20,37608.15
2026-05-21,27190.52
2026-05-22,38467.75
2026-05-23,21343.72
2026-05-24,33473.39
2026-05-25,26620.16
2026-05-26,40721.75
2026-05-27,39092.63
2026-05-28,29780.35
2026-05-29,33564.59
2026-05-30,34096.03
2026-05-31,35807.97
2026-06-01,34277.94
2026-06-02,38045.87
2026-06-03,35414.85
2026-06-04,34868.06
2026-06-05,36045.39
2026-06-06,28016.54
2026-06-07,31179.76
2026-06-08,44495.89
2026-06-09,43197.43
2026-06-10,41520.71
2026-06-11,36911.24
2026-06-12,39739.0
2026-06-13,25910.6
2026-06-14,39312.78
2026-06-15,44772.11
2026-06-16,28791.66
2026-06-17,28632.09
2026-06-18,47565.78
2026-06-19,37301.65
2026-06-20,23359.15
2026-06-21,31636.99
2026-06-22,22417.57
2026-06-23,23450.06
2026-06-24,20931.93
2026-06-25,20524.35
2026-06-26,36001.06
2026-06-27,29374.17
2026-06-28,25424.29
2026-06-29,30897.72
2026-06-30,35530.15
2026-07-01,24725.03
2026-07-02,30536.98
2026-07-03,24601.8
2026-07-04,24742.24
2026-07-05,32812.14
2026-07-06,20885.62
2026-07-07,36886.37
2026-07-08,35954.02
2026-07-09,28335.28
2026-07-10,38827.73
2026-07-11,28126.77
2026-07-12,27108.13
2026-07-13,21422.26
2026-07-14,24980.79
2026-07-15,37920.85
2026-07-16,29247.86
2026-07-17,22163.85
2026-07-18,19739.42
2026-07-19,24533.07
2026-07-20,26064.57
2026-07-21,40370.72
2026-07-22,38910.33
2026-07-23,39977.56
2026-07-24,41265.7
2026-07-25,35189.31
