date,rebate_amount
2026-04-16,275732.86
2026-04-17,248797.66
2026-04-18,250041.83
2026-04-19,245217.04
2026-04-20,265710.9
2026-04-21,253392.03
2026-04-22,264754.0
2026-04-23,232722.14
2026-04-24,262448.52
2026-04-25,247738.43
2026-04-26,207281.52
2026-04-27,259779.99
2026-04-28,234107.51
2026-04-29,279946.39
2026-04-30,253302.21
2026-05-01,248732.63
2026-05-02,248607.98
2026-05-03,244545.74
2026-05-04,260869.05
2026-05-05,264257.81
2026-05-06,277241.26
2026-05-07,234667.08
2026-05-08,221539.19
2026-05-09,202623.87
2026-05-10,206511.11
2026-05-11,226395.74
2026-05-12,276070.13
2026-05-13,235376.01
2026-05-14,286688.79
2026-05-15,253412.96
2026-05-16,210873.79
2026-05-17,216934.39
2026-05-18,239928.94
2026-05-19,243791.1
2026-05-20,221632.87
2026-05-21,249455.06
2026-05-22,257700.22
2026-05-23,225553.9
2026-05-24,203993.39
2026-05-25,252386.0
2026-05-26,279220.84
2026-05-27,254790.96
2026-05-28,254558.67
2026-05-29,257543.62
2026-05-30,249120.74
2026-05-31,229258.06
2026-06-01,316778.89
2026-06-02,310317.48
2026-06-03,313447.01
2026-06-04,312006.78
2026-06-05,293999.96
2026-06-06,310262.27
2026-06-07,282861.19
2026-06-08,296408.55
2026-06-09,298372.4
2026-06-10,289290.19
2026-06-11,328151.43
2026-06-12,262975.03
2026-06-13,247350.52
2026-06-14,299760.42
2026-06-15,271581.92
2026-06-16,279518.06
2026-06-17,298981.78
2026-06-18,303916.27
2026-06-19,320384.73
2026-06-20,289291.81
2026-06-21,210071.59
2026-06-22,255063.76
2026-06-23,236918.17
2026-06-24,223084.52
2026-06-25,253950.24
2026-06-26,261188.66
2026-06-27,200914.0
2026-06-28,242408.44
2026-06-29,235826.71
2026-06-30,229128.14
2026-07-01,229092.28
2026-07-02,263867.52
2026-07-03,258058.4
2026-07-04,215598.97
2026-07-05,217428.61
2026-07-06,230135.34
2026-07-07,254125.3
2026-07-08,248310.5
2026-07-09,267048.56
2026-07-10,271492.11
2026-07-11,226210.53
2026-07-12,256702.2
2026-07-13,216501.45
2026-07-14,243006.24
2026-07-15,246420.21
2026-07-16,256435.87
2026-07-17,273618.42
2026-07-18,262660.21
2026-07-19,229813.67
2026-07-20,257693.76
2026-07-21,270226.79
2026-07-22,254984.29
2026-07-23,254230.19
2026-07-24,272119.98
2026-07-25,242710.93
